,p_id,name,price,colour,brand,brand_id
6317,16774866.0,Kraus Jeans Women Grey Textured Comfort Slim Fit High-Rise Peg Trousers,1695.0,Grey,Kraus Jeans,484
6318,16774898.0,Kraus Jeans Women Mustard Puffer Jacket,3990.0,Mustard,Kraus Jeans,484
6319,16262318.0,Kraus Jeans Women Black Hot Pants Shorts,1295.0,Black,Kraus Jeans,484
6320,15672076.0,Kraus Jeans Women Red Ribbed Pullover Sweater,1699.0,Red,Kraus Jeans,484
6321,19171238.0,Kraus Jeans Women Green Loose Fit High-Rise Culottes Trousers,1595.0,Green,Kraus Jeans,484
6322,17522316.0,Kraus Jeans Women Black Crop Biker Jacket,2995.0,Black,Kraus Jeans,484
6323,18364842.0,Kraus Jeans Women Blue Skinny Fit Jeans,1895.0,Blue,Kraus Jeans,484
6324,18168412.0,De Moza Teal Crop Top,999.0,Teal,De Moza,208
6325,18514936.0,De Moza Women Blue & White Indigo Printed Maxi Skirts,1999.0,Blue,De Moza,208
6326,19356282.0,De Moza Women Navy Blue Solid Pleated Cowl Pant,1299.0,Navy Blue,De Moza,208
6327,19356274.0,De Moza Women White Pleated Trousers,1299.0,White,De Moza,208
6328,16810802.0,De Moza Women Purple & White Tie & Dye Pure Cotton Sweatshirt,1499.0,Purple,De Moza,208
6329,16635846.0,De Moza Women Navy Blue Printed Trousers,999.0,Navy Blue,De Moza,208
6330,16638120.0,De Moza Women Black & White Printed Cropped Ethnic Palazzos,1299.0,Black,De Moza,208
6331,17412610.0,De Moza Women Maroon Ethnic Printed Straight Maxi Skirt,2499.0,Red,De Moza,208
6332,17706042.0,De Moza Women Navy Blue Pencil Slim Fit Cigarette Trousers,899.0,Navy Blue,De Moza,208
